experiment,config,param_value,rep,metric,value
exp4_rate,mysql_speculative,default,1,snapshot_count,10
exp4_rate,mysql_speculative,default,1,snapshot_committed,10
exp4_rate,mysql_speculative,default,1,snapshot_skipped,0
exp4_rate,mysql_speculative,default,1,snapshot_success_rate,1.0
exp4_rate,mysql_speculative,default,1,avg_retry_rate,0.4
exp4_rate,mysql_speculative,default,1,avg_latency_ms,618.8666335998732
exp4_rate,mysql_speculative,default,1,p50_latency_ms,625.5683760000466
exp4_rate,mysql_speculative,default,1,p99_latency_ms,669.8228749996815
exp4_rate,mysql_speculative,default,1,max_latency_ms,669.8228749996815
exp4_rate,mysql_speculative,default,1,avg_throughput_writes_sec,115.04761904761905
exp4_rate,mysql_speculative,default,1,avg_coordinator_cpu_pct,-1.0
exp4_rate,mysql_speculative,default,1,avg_delta_blocks_at_discard,0.5
exp4_rate,mysql_speculative,default,1,max_delta_blocks_at_discard,1
exp4_rate,mysql_speculative,default,1,causal_consistency_rate,1.0
exp4_rate,mysql_speculative,default,1,causal_checked_count,10.0
exp4_rate,mysql_speculative,default,1,avg_causal_violation_count,0.0
exp4_rate,mysql_speculative,default,1,conservation_validity_rate,1.0
exp4_rate,mysql_speculative,default,1,conservation_checked_count,10.0
exp4_rate,mysql_speculative,default,1,recovery_rate,1.0
exp4_rate,mysql_speculative,default,1,recovery_checked_count,10.0
exp4_rate,mysql_speculative,default,1,recovery_conservation_rate,1.0
