experiment,config,param_value,rep,metric,value
exp1_freq,mysql_pause_and_snap,default,1,snapshot_count,11
exp1_freq,mysql_pause_and_snap,default,1,snapshot_committed,11
exp1_freq,mysql_pause_and_snap,default,1,snapshot_skipped,0
exp1_freq,mysql_pause_and_snap,default,1,snapshot_success_rate,1.0
exp1_freq,mysql_pause_and_snap,default,1,avg_retry_rate,0.0
exp1_freq,mysql_pause_and_snap,default,1,avg_latency_ms,469.13957590910826
exp1_freq,mysql_pause_and_snap,default,1,p50_latency_ms,459.893749999992
exp1_freq,mysql_pause_and_snap,default,1,p99_latency_ms,529.0067920000183
exp1_freq,mysql_pause_and_snap,default,1,max_latency_ms,529.0067920000183
exp1_freq,mysql_pause_and_snap,default,1,avg_throughput_writes_sec,130.8095238095238
exp1_freq,mysql_pause_and_snap,default,1,avg_coordinator_cpu_pct,-1.0
exp1_freq,mysql_pause_and_snap,default,1,avg_delta_blocks_at_discard,0.0
exp1_freq,mysql_pause_and_snap,default,1,max_delta_blocks_at_discard,0.0
exp1_freq,mysql_pause_and_snap,default,1,causal_consistency_rate,1.0
exp1_freq,mysql_pause_and_snap,default,1,causal_checked_count,11.0
exp1_freq,mysql_pause_and_snap,default,1,avg_causal_violation_count,0.0
exp1_freq,mysql_pause_and_snap,default,1,conservation_validity_rate,1.0
exp1_freq,mysql_pause_and_snap,default,1,conservation_checked_count,11.0
exp1_freq,mysql_pause_and_snap,default,1,recovery_rate,1.0
exp1_freq,mysql_pause_and_snap,default,1,recovery_checked_count,11.0
exp1_freq,mysql_pause_and_snap,default,1,recovery_conservation_rate,1.0
