experiment,config,param_value,rep,metric,value
exp3_dependency,row_speculative,0.5,1,snapshot_count,1
exp3_dependency,row_speculative,0.5,1,snapshot_committed,1
exp3_dependency,row_speculative,0.5,1,snapshot_success_rate,1.0
exp3_dependency,row_speculative,0.5,1,avg_retry_rate,0.0
exp3_dependency,row_speculative,0.5,1,avg_latency_ms,6.017165957018733
exp3_dependency,row_speculative,0.5,1,p50_latency_ms,6.017165957018733
exp3_dependency,row_speculative,0.5,1,p99_latency_ms,6.017165957018733
exp3_dependency,row_speculative,0.5,1,max_latency_ms,6.017165957018733
exp3_dependency,row_speculative,0.5,1,avg_throughput_writes_sec,902.5
exp3_dependency,row_speculative,0.5,1,avg_coordinator_cpu_pct,22.35
exp3_dependency,row_speculative,0.5,1,avg_delta_blocks_at_discard,0.0
exp3_dependency,row_speculative,0.5,1,max_delta_blocks_at_discard,0.0
